Trans Date,Debit,Recharge Type,Channel,recipient
04-Jan-21,200.0,Call Recharge,GTWORLD,Friends
06-Jan-21,5000.0,Monthly Sub,USSD,My Number
07-Jan-21,100.0,Call Recharge,USSD,My Number
10-Jan-21,5000.0,Monthly Sub,USSD,My Number
11-Jan-21,100.0,Call Recharge,USSD,My Number
11-Jan-21,100.0,Call Recharge,USSD,Friends
15-Jan-21,100.0,Call Recharge,USSD,My Number
16-Jan-21,100.0,Call Recharge,USSD,My Number
17-Jan-21,200.0,Call Recharge,GTWORLD,Friends
18-Jan-21,5000.0,Monthly Sub,USSD,My Number
18-Jan-21,200.0,Call Recharge,USSD,Friends
19-Jan-21,100.0,Call Recharge,USSD,My Number
22-Jan-21,1000.0,Call Recharge,USSD,Friends
22-Jan-21,100.0,Call Recharge,USSD,My Number
22-Jan-21,1500.0,Weekly Sub,GTWORLD,Friends
22-Jan-21,100.0,Call Recharge,USSD,My Number
26-Jan-21,100.0,Call Recharge,USSD,My Number
27-Jan-21,300.0,Call Recharge,USSD,My Number
27-Jan-21,300.0,Call Recharge,USSD,My Number
27-Jan-21,5000.0,Monthly Sub,USSD,My Number
28-Jan-21,1000.0,Call Recharge,USSD,Friends
05-Feb-21,1500.0,Weekly Sub,USSD,My Number
08-Feb-21,1500.0,Weekly Sub,USSD,My Number
08-Feb-21,1500.0,Weekly Sub,GTWORLD,Friends
09-Feb-21,100.0,Call Recharge,USSD,My Number
09-Feb-21,100.0,Call Recharge,USSD,My Number
10-Feb-21,1500.0,Weekly Sub,USSD,My Number
11-Feb-21,300.0,Call Recharge,USSD,My Number
11-Feb-21,1500.0,Weekly Sub,USSD,My Number
13-Feb-21,1500.0,Weekly Sub,USSD,My Number
14-Feb-21,200.0,Call Recharge,USSD,Friends
15-Feb-21,1500.0,Weekly Sub,USSD,My Number
17-Feb-21,100.0,Call Recharge,USSD,My Number
17-Feb-21,100.0,Call Recharge,USSD,My Number
17-Feb-21,300.0,Call Recharge,USSD,My Number
17-Feb-21,1000.0,Call Recharge,USSD,My Number
17-Feb-21,800.0,Call Recharge,USSD,My Number
18-Feb-21,500.0,Call Recharge,USSD,My Number
19-Feb-21,500.0,Call Recharge,USSD,My Number
20-Feb-21,300.0,Call Recharge,USSD,My Number
21-Feb-21,100.0,Call Recharge,USSD,My Number
23-Feb-21,300.0,Call Recharge,USSD,My Number
24-Feb-21,1500.0,Weekly Sub,USSD,My Number
24-Feb-21,500.0,Call Recharge,USSD,My Number
24-Feb-21,1000.0,Call Recharge,USSD,My Number
26-Feb-21,1500.0,Weekly Sub,USSD,My Number
28-Feb-21,1500.0,Weekly Sub,USSD,My Number
01-Mar-21,1500.0,Weekly Sub,USSD,My Number
03-Mar-21,1500.0,Weekly Sub,USSD,My Number
03-Mar-21,100.0,Call Recharge,USSD,My Number
04-Mar-21,100.0,Call Recharge,USSD,My Number
04-Mar-21,100.0,Call Recharge,USSD,My Number
04-Mar-21,1200.0,Call Recharge,GTWORLD,Friends
05-Mar-21,100.0,Call Recharge,USSD,My Number
